"","group","percent_of_act"
"1","0.3",98.826714801444
"2","0.3",116.425992779783
"3","0.3",132.091284167096
"4","0.3",84.1284167096441
"5","0.3",148.916967509025
"6","0.3",48.5430634347602
"7","0.3",67.1093347086127
"8","0.3",82.7746260959257
"9","0.3",97.0861268695204
"10","1",95.3455389375967
"11","1",112.944816915936
"12","1",86.6425992779783
"13","1",81.8076328004126
"14","1",128.416709644146
"15","1",81.4208354822073
"16","1",96.8927282104177
"17","1",49.5100567302733
"18","1",74.8452810727179
"19","1",114.105208870552
"20","1",141.374419804023
"21","1",125.322331098504
"22","3",84.5152140278494
"23","3",103.855079938112
"24","3",87.9963898916967
"25","3",79.6802475502836
"26","3",86.2558019597731
"27","3",51.250644662197
"28","3",54.1516245487365
"29","3",41.3873130479629
"30","3",67.6895306859206
"31","3",49.8968540484786
"32","VEH",54.1516245487365
"33","VEH",65.9489427539969
"34","VEH",82.0010314595152
"35","VEH",122.03455389376
"36","VEH",137.313047962867
"37","VEH",80.4538421866942
"38","VEH",126.48272305312
"39","VEH",88.383187209902
"40","VEH",122.03455389376
"41","VEH",96.1191335740072
"42","VEH",76.0056730273337
"43","VEH",126.095925734915
"44","VEH",109.850438370294
"45","VEH",119.907168643631
"46","VEH",93.2181536874678
